id,code,name,aliquot,month_ucim,year_ucim
concept59,3.01.001,"Materias primas, agrícolas, pecuarias, cafés en granos, granos, cereales, leguminosos, grasos, aceites crudos (vegetal y animal)",1,,
concept60,3.01.002,"Minerales, metales, productos químicos, combustible (gasolina, gas-oil, kerosén, etc.), aceites, grasas lubricantes, minerales y metales ferrosos y no ferrosos.",1,,
concept61,3.01.003,"Barras, cabillas, perfiles, tubos, vaciados, alambres.",1,,
concept62,3.01.004,"Productos químicos industriales básicos, colorantes industriales, resinas, abonos, Plaguicidas.",1,,
concept63,3.01.005,"Detergentes, artículos de limpieza.",1,,
concept64,3.01.006,"Productos farmacéuticos, medicamentos.",1,,
concept65,3.01.007,"Cosméticos, perfumes, artículos de tocador.",1,,
concept66,3.01.008,Productos veterinarios.,1,,
concept67,3.01.009,"Madera aserrada, cepilladas, terciada o contra enchapada.",1,,
concept68,3.01.010,Materiales de construcción.,1,,
concept69,3.01.011,Vehículos automóviles,1,,
concept70,3.01.012,"Repuestos y accesorios para vehículos automóviles, motocicletas, motonetas, bicicletas.",1,,
concept71,3.01.013,"Llantas, cámaras de caucho.",1,,
concept72,3.01.014,"Acumuladores, baterías.",1,,
concept73,3.01.015,"Maquinaria, equipos para la agricultura.",1,,
concept74,3.01.016,"Máquinas de escribir, calcular, artículos de oficina.",1,,
concept75,3.01.017,"Muebles y accesorios para la Industria, el comercio y la agricultura.",1,,
concept76,3.01.018,"Muebles para clínicas y hospitales, equipo profesional y científico e instrumentos de medida y control.",1,,
concept77,3.01.019,Materiales de ferretería,1,,
concept78,3.01.020,"Pinturas, lacas, barnices.",1,,
concept79,3.01.021,"Artículos y materiales eléctricos, repuestos y accesorios para artefactos domésticos.",1,,
concept80,3.01.022,"Cuchillería y artículos de porcelana, loza, vidrio, artículos y accesorios de cocina.",1,,
concept81,3.01.023,"Aparatos de ventilación, aire acondicionado refrigeración.",1,,
concept82,3.01.024,Aparatos y sistemas de comunicación.,1,,
concept83,3.01.025,"Muebles, accesorios para el hogar.",1,,
concept84,3.01.026,"Cortinas, alfombras, tapices.",1,,
concept85,3.01.027,Lámparas.,1,,
concept86,3.01.028,"Marcos, cuadros, espejos.",1,,
concept87,3.01.029,"Telas, mercerías, lencerías, Prendas de vestir para caballeros, damas y niños, calzados, artículos de zapaterías, artículos de cuero natural, géneros textiles, prendas de vestir.",1,,
concept88,3.01.030,Artefactos de uso doméstico.,1,,
concept89,3.01.031,"Leche, queso, mantequilla, otros productos.",1,,
concept90,3.01.032,"Carne de ganado vacuno, porcino, caprino, otras carnes.",1,,
concept91,3.01.033,Aves beneficiadas.,1,,
concept92,3.01.034,"Pescados, mariscos.",1,,
concept93,3.01.035,"Frutas, hortalizas.",1,,
concept94,3.01.036,Productos de molinería.,1,,
concept95,3.01.037,Aceites y grasas comestibles (refinadas).,1,,
concept96,3.01.038,Distribución y comercialización de bebidas alcohólicas (VIENE DEL 3.2.01),1,,
concept97,3.01.039,Mayor de bebidas no alcohólicas.,1,,
concept98,3.01.040,"Bombones, caramelos, confitería.",1,,
concept99,3.01.041,"Cigarrillos, tabacos.",1,,
concept100,3.01.042,Alimentos para animales.,1,,
concept101,3.01.043,Productos alimenticios.,1,,
